AssetManager,SponsorFirm,,MorningstarStrategyId,MorningstarClass,,,SmaStrategy,SmaProductType,ManagerClass,,TotalAccounts,Smry Trns Typ Txt,1Q 2016,2Q 2016,3Q 2016,4Q 2016,1Q 2017,2Q 2017,3Q 2017,4Q 2017,1Q 2018
,,,,,,,,,Managed Account Program (MAP) T3 Total,,-,Net Cash Flows,0,0,0,21038098,0,0,0,0,0
,,,,,,,,,,,,Assets,,,,23514345,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SMA Single Contract,Consulting Solutions,,,Gross Flows,0,0,0,0,0,0,165582,0,129635
,,,,,,,,,,,,Redemptions,0,0,0,0,0,0,0,-178936,-161864
,,,,,,,,,Consulting Solutions Total,,8,Net Cash Flows,0,0,0,0,0,0,165582,-178936,-32229
,,,,,,,,,,,,Assets,,,,,,,177707.66,1084785.88,1005274.83
,,,,,,,,,,,,,,,,,,,,,
,,,F00000JQ4Q,US SA Preferred Stock,,,SMA Spectrum Preferred Securities,SMA Single Contract,Consulting Solutions,,,Gross Flows,17144044.22,9785727.6,4754060.71,8037932.9,4694971.38,10441490.03,17374998.12,5989519.28,9909017.1
,,,,,,,,,,,,Redemptions,-19783038.02,-5738114.94,-4843162.66,-6546689.29,-6966618.14,-6675584.98,-4598871.68,-22052634.79,-19945414.06
,,,,,,,,,Consulting Solutions Total,,539,Net Cash Flows,-2638993.8,4047612.66,-89101.95,1491243.61,-2271646.76,3765905.05,12776126.44,-16063115.51,-10036396.96
,,,,,,,,,,,,Assets,139107504.5,148607180.6,148739947.8,141870352.3,147559221.3,156954322.1,170634072.5,154935074.7,142677920.1
,,,,,,,,,,,,,,,,,,,,,
,,,F00000JQ4R,US SA Preferred Stock,,,SMA Spectrum Tax Advantaged Preferred Securities,SMA Single Contract,Consulting Solutions,,,Gross Flows,1730373.08,1872059.85,3454578,1516951.86,1159146,508234.41,1273521,1456416.7,1837729.22
,,,,,,,,,,,,Redemptions,-1732523.2,-1369749.55,-1630887.23,-1178515.51,-267507.77,-817617.03,-679675.18,-3492809.05,-1687304.74
,,,,,,,,,Consulting Solutions Total,,64,Net Cash Flows,-2150.12,502310.3,1823690.77,338436.35,891638.23,-309382.62,593845.82,-2036392.35,150424.48
,,,,,,,,,,,,Assets,17873959.78,19127960.95,20994673.81,20096130.66,21890325.38,22317850.4,23006106.99,20514278.59,20479313.03
,,,,,,,,,,,,,,,,,,,,,
,RBC Dain Rauscher Total,,,,,,,,,,,Overall Net Cash Flows,-2641143.92,4549922.96,1734588.82,22867777.96,-1408008.53,3103340.43,29359582.26,-31891406.86,-6448268.17
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Robert W. Baird & Co. Incorporated,,F00000MD3H,US SA Mid-Cap Growth,,,SMA MidCap Equity,SMA Single Contract,Baird Private Asset Management Recommended Managers Service,,,Gross Flows,6562348.63,6867527.22,3960005.75,5239157.93,7190958.62,6957102.2,5871236,4187638.91,6926523.61
,,,,,,,,,,,,Redemptions,-858942.53,-162187.29,-676685.18,-77500,-900439.08,-1878081.66,-1859887.47,-863369.67,-5144009.03
,,,,,,,,,"Baird Private Asset Management 
Recommended Managers Service Total",,231,Net Cash Flows,5703406.1,6705339.93,3283320.57,5161657.93,6290519.54,5079020.54,4011348.53,3324269.24,1782514.58
,,,,,,,,,,,,Assets,24664854.47,32206132.69,36911113.12,42301293.83,51920605.75,61405678.07,68922038.91,75689002.51,77380796.45
,,,,,,,,,,,,,,,,,,,,,
,Robert W. Baird & Co. Incorporated Total,,,,,,,,,,,Overall Net Cash Flows,5703406.1,6705339.93,3283320.57,5161657.93,6290519.54,5079020.54,4011348.53,3324269.24,1782514.58
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,SEI Investment Management Corporation,,F00000JQ4Q,US SA Preferred Stock,,,SMA Spectrum Preferred Securities,SMA Model-Only Contract,SEI Managed Account Program (MAP),,,Gross Flows,7357904.66,19156446.47,19582307,5653659,8059407,5789735.98,5462971,6371663,7254777
,,,,,,,,,,,,Redemptions,-3241157.83,-12826510.13,-13867038.24,-9077125,-5712435.4,-4654798.93,-4364543,-2703060.6,-3096248.7
,,,,,,,,,SEI Managed Account Program (MAP) Total,,423,Net Cash Flows,4116746.83,6329936.34,5715268.76,-3423466,2346971.6,1134937.05,1098428,3668602.4,4158528.3
,,,,,,,,,,,,Assets,80794514.5,91342220.25,99463599.04,90550365.89,99229251.69,103827628,103223051,105500180.8,109317958.5
,,,,,,,,,,,,,,,,,,,,,
,SEI Investment Management Corporation Total,,,,,,,,,,,Overall Net Cash Flows,4116746.83,6329936.34,5715268.76,-3423466,2346971.6,1134937.05,1098428,3668602.4,4158528.3
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"Stifel, Nicolaus & Company, Incorporated",,,,,,SMA CCI Large Cap Growth Equity,SMA Dual Contract,Horizon,,,Redemptions,0,0,-5600,-3494694,0,0,0,-10000,0
,,,,,,,,,Horizon Total,,3,Net Cash Flows,0,0,-5600,-3494694,0,0,0,-10000,0
,,,,,,,,,,,,Assets,4442548.76,4328726.55,4571676.75,879799.57,973318.85,1016363.76,1092112.81,1160933.95,1216613.8
,,,,,,,,,,,,,,,,,,,,,
,,,F00000JQ4Q,US SA Preferred Stock,,,SMA Spectrum Preferred Securities,SMA Single Contract,Opportunity,,,Gross Flows,304693.06,438106.46,1486292.04,1530080.72,304710.37,484343.83,425000,1135927,958995.83
,,,,,,,,,,,,Redemptions,-242628.3,-329892.25,-348406.25,-1959110.03,-936884.33,-449004.24,-341535.54,-549729.05,-783119.02
,,,,,,,,,Opportunity Total,,91,Net Cash Flows,62064.76,108214.21,1137885.79,-429029.31,-632173.96,35339.59,83464.46,586197.95,175876.81
,,,,,,,,,,,,Assets,18459386.96,19262113.15,20418034.39,18781550.01,19198313.64,19836113.75,20008335.44,20626478.92,20569364.82
,,,,,,,,,,,,,,,,,,,,,
,,,F00000JQ4R,US SA Preferred Stock,,,SMA Spectrum Tax Advantaged Preferred Securities,SMA Dual Contract,Horizon,,,Gross Flows,100000,0,0,0,0,0,0,0,0
,,,,,,,,,,,,Redemptions,-56703.03,-50536.04,-52835.73,-51483.82,-51969.55,-51876.71,-51401.58,-51821.72,-7968.89
,,,,,,,,,Horizon Total,,1,Net Cash Flows,43296.97,-50536.04,-52835.73,-51483.82,-51969.55,-51876.71,-51401.58,-51821.72,-7968.89
,,,,,,,,,,,,Assets,3822074.8,3932926.44,3899391.84,3617138.13,3776733.01,3862176.19,3830626.94,3786989.05,3747796.5
,,,,,,,,,,,,,,,,,,,,,
,"Stifel, Nicolaus & Company, Incorporated Total",,,,,,,,,,,Overall Net Cash Flows,105361.73,57678.17,1079450.06,-3975207.13,-684143.51,-16537.12,32062.88,524376.23,167907.92
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"SunTrust Banks, Inc.",,F00000JQ4R,US SA Preferred Stock,,,SMA Spectrum Tax Advantaged Preferred Securities,SMA Model-Only Contract,Model Delivery Program,,,Gross Flows,0,0,0,0,0,7603085.31,0,0,0
,,,,,,,,,Model Delivery Program Total,,-,Net Cash Flows,0,0,0,0,0,7603085.31,0,0,0
,,,,,,,,,,,,Assets,,,,,,8393418.97,10762244,11039856.15,11332268.83
,,,,,,,,,,,,,,,,,,,,,
,"SunTrust Banks, Inc. Total",,,,,,,,,,,Overall Net Cash Flows,0,0,0,0,0,7603085.31,0,0,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"UBS Financial Services, Inc.",,F00000OSPA,US SA Mid-Cap Value,,,SMA Edge Small MidCap Dividend Income,SMA Dual Contract, Institutional Consulting,,,Redemptions,-1093.84,-1123.79,-13850.09,-14142.28,-375000,-1467456.27,0,0,0
,,,,,,,,, Institutional Consulting Total,,3,Net Cash Flows,-1093.84,-1123.79,-13850.09,-14142.28,-375000,-1467456.27,0,0,0
,,,,,,,,,,,,Assets,3060766.22,3223891.73,3442980.46,3790191.29,3508373.8,2051656.27,2137629.43,2215500.95,2143383.24
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Managed Account Consulting (MAC),,,Gross Flows,6984564,1518900,1802300,2013000,5700,65301,695518.98,36002.49,1206826.33
,,,,,,,,,,,,Redemptions,-17381.37,-88045.7,-24449.31,-131692.21,-210961.23,-1655214.58,-48633.23,-27073.4,-207838.79
,,,,,,,,,Managed Account Consulting (MAC) Total,,6,Net Cash Flows,6967182.63,1430854.3,1777850.69,1881307.79,-205261.23,-1589913.58,646885.75,8929.09,998987.54
,,,,,,,,,,,,Assets,11678885.51,13891034.77,16714035.18,20346089.12,20680711.44,19252375.86,22420557.36,23029891.4,23333538.19
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Managed Account Consulting (MAC) T2,,,Gross Flows,137500,0,0,0,0,5300,0,0,0
,,,,,,,,,,,,Redemptions,-15900,-117900,-15900,-10600,-15900,-3016963,0,0,0
,,,,,,,,,Managed Account Consulting (MAC) T2 Total,,-,Net Cash Flows,121600,-117900,-15900,-10600,-15900,-3011663,0,0,0
,,,,,,,,,,,,Assets,2542136.67,2568543.41,2728539.46,2987764,3041423.32,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Managed Account Consulting (MAC) T3,,,Gross Flows,0,0,0,3926.61,0,4516.81,3550.5,2400.14,2267.03
,,,,,,,,,,,,Redemptions,-24786.96,-22209.71,-22789.49,-14734.29,0,-6500000,-10512.69,-9000000,-2002891.52
,,,,,,,,,Managed Account Consulting (MAC) T3 Total,,2,Net Cash Flows,-24786.96,-22209.71,-22789.49,-10807.68,0,-6495483.19,-6962.19,-8997599.86,-2000624.49
,,,,,,,,,,,,Assets,26401409.44,28011427.98,29992362.18,33101680.43,33954889.91,27490354.1,28612811.03,20368141.3,17733064.61
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SMA DVP Contract,Managed Account Consulting (MAC) DVP,,,Redemptions,-22800.34,-23647.68,0,0,-500000,0,0,0,0
,,,,,,,,,Managed Account Consulting (MAC) DVP Total,,1,Net Cash Flows,-22800.34,-23647.68,0,0,-500000,0,0,0,0
,,,,,,,,,,,,Assets,11637649.27,12227785.46,12973241.05,14185020.59,13920580.62,13885465.7,14320764.65,14666397.98,14075730.72
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SMA Single Contract,Access,,,Gross Flows,30719033.3,50783000.22,91159080.9,67603722.4,102035959,59369336.65,40202797.29,50588210.2,76275401.07
,,,,,,,,,,,,Redemptions,-25874708.54,-19207246.84,-23594881.29,-23230571.47,-31464850.48,-37172013.95,-29501442.52,-32375118.91,-44223643.61
,,,,,,,,,Access Total,,2966,Net Cash Flows,4844324.76,31575753.38,67564199.61,44373150.93,70571108.48,22197322.7,10701354.77,18213091.29,32051757.46
,,,,,,,,,,,,Assets,467409786.4,525092362.3,634166255.3,744437121.5,834297966.8,860706686.5,905330791.5,954802319.7,952939113.5
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Strategic Wealth Portfolio (SWP),,,Gross Flows,10708115.52,9401732.17,14031262.99,20071552.7,27679288.81,12956978.75,12218301.37,12279572.54,16266300.46
,,,,,,,,,,,,Redemptions,-6569273.39,-9488304.78,-6290771.22,-12235232.62,-17249527.33,-10532840.99,-6217323.02,-11980432.93,-8995824.23
,,,,,,,,,Strategic Wealth Portfolio (SWP) Total,,904,Net Cash Flows,4138842.13,-86572.61,7740491.77,7836320.08,10429761.48,2424137.76,6000978.35,299139.61,7270476.23
,,,,,,,,,,,,Assets,130869899.8,138277121.2,154447840.7,175451581.7,186639749,189164140.4,201914010.7,208358367,206030853.4
,,,,,,,,,,,,,,,,,,,,,
,,,F00000OSQN,US SA Mid-Cap Value,,,SMA Edge Small MidCap Dividend Income with MLPs,SMA Dual Contract,Managed Account Consulting (MAC) T3,,,Gross Flows,718368.66,0,0,0,0,0,0,0,0
,,,,,,,,,,,,Redemptions,-3578562.8,-29460.75,-29560.1,-1018645.11,0,-1000000,-2017930.53,-2000000,-10656538.14
,,,,,,,,,Managed Account Consulting (MAC) T3 Total,,2,Net Cash Flows,-2860194.14,-29460.75,-29560.1,-1018645.11,0,-1000000,-2017930.53,-2000000,-10656538.14
,,,,,,,,,,,,Assets,37709577.63,40005903.51,42907322.49,46104962.86,47398035.63,46803047.73,46759177.55,46243088.02,34584882.18
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SMA Single Contract,Access,,,Gross Flows,4699601.51,7315457.97,6946776.69,10601000.62,15992381.14,10026893.37,3129850.49,4478016.21,6082785.36
,,,,,,,,,,,,Redemptions,-8107828.95,-3996104.74,-2073163.07,-7884223.24,-4350373.64,-19770531.73,-6947389.48,-5124534.15,-7600967.3
,,,,,,,,,Access Total,,532,Net Cash Flows,-3408227.44,3319353.23,4873613.62,2716777.38,11642007.5,-9743638.36,-3817538.99,-646517.94,-1518181.94
,,,,,,,,,,,,Assets,131274582.7,140941804.9,155958705.1,172969738.3,187484193.6,178360460.7,181934715.4,184984042.3,175463266.4
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Strategic Wealth Portfolio (SWP),,,Gross Flows,1775456.32,3089273.31,1797732.04,1979510.41,5083062.88,2213941.31,1353806.72,870756.8,2237458.34
,,,,,,,,,,,,Redemptions,-1208668.46,-1804500.49,-697732.9,-638532.23,-5216446.46,-2205882.46,-927994.49,-1481911.99,-3204446.98
,,,,,,,,,Strategic Wealth Portfolio (SWP) Total,,145,Net Cash Flows,566787.86,1284772.82,1099999.14,1340978.18,-133383.58,8058.85,425812.23,-611155.19,-966988.64
,,,,,,,,,,,,Assets,20332678.02,22805517.04,25286960.44,29229936.49,29740132.77,29691072.05,31341918.75,31624080.25,29360137.91
,,,,,,,,,,,,,,,,,,,,,
,,,F00000WJTR,US SA High Yield Bond,,,SMA High Yield,SMA Dual Contract,Managed Account Consulting (MAC),,,Gross Flows,22779963,3067737.01,721842.25,625625.89,0,0,0,0,0
,,,,,,,,,,,,Redemptions,0,0,-12153.75,-16372.02,-32094067,0,0,0,0
,,,,,,,,,Managed Account Consulting (MAC) Total,,-,Net Cash Flows,22779963,3067737.01,709688.5,609253.87,-32094067,0,0,0,0
,,,,,,,,,,,,Assets,23179866.51,27238417.47,29157835.44,31389326.51,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,F00000MD3H,US SA Mid-Cap Growth,,,SMA MidCap Equity,SMA Single Contract,Access,,,Gross Flows,12768124.97,5908918.13,11180280.68,19393858,11795047.85,8956011.78,6460637.32,5439275.39,8074304.59
,,,,,,,,,,,,Redemptions,-810019.97,-1276257.8,-1256963.72,-2178381.25,-670504.88,-3158531.55,-3306514.85,-3045981.39,-3462379.49
,,,,,,,,,Access Total,,365,Net Cash Flows,11958105,4632660.33,9923316.96,17215476.75,11124542.97,5797480.23,3154122.47,2393294,4611925.1
,,,,,,,,,,,,Assets,35944582.99,41063282.29,53583677.84,71291558.86,87292080.48,97231277.37,105821529.6,113694276.1,117732296.4
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Strategic Wealth Portfolio (SWP),,,Gross Flows,1481674.75,813485.05,2496986.76,2152198.61,4863199.75,1591109.28,2347969.15,2099265.98,3404277.25
,,,,,,,,,,,,Redemptions,-1238617.93,-547441.66,-505966.31,-394252.48,-548465.51,-985762.35,-783079.53,-1039113.59,-791386.39
,,,,,,,,,Strategic Wealth Portfolio (SWP) Total,,133,Net Cash Flows,243056.82,266043.39,1991020.45,1757946.13,4314734.24,605346.93,1564889.62,1060152.39,2612890.86
,,,,,,,,,,,,Assets,10011301.56,10610719.27,12950747.72,14644191.33,20078856.6,21635252.02,24446550.6,26419869.86,28881012.91
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,SMA Short Duration,SMA Dual Contract,Managed Account Consulting (MAC),,,Gross Flows,1103844,0,1552.08,0,0,0,0,0,0
,,,,,,,,,,,,Redemptions,0,0,0,-3524.43,0,0,0,0,0
,,,,,,,,,Managed Account Consulting (MAC) Total,,-,Net Cash Flows,1103844,0,1552.08,-3524.43,0,0,0,0,0
,,,,,,,,,,,,Assets,1116902.77,1154929.37,1180658.16,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,US SA Preferred Stock,,,SMA Spectrum Offshore Preferred Securities,SMA Dual Contract,Managed Account Consulting (MAC),,,Gross Flows,347345,851182.94,1501362.63,500000,311799.24,548004.74,1605.41,0,1640.85
,,,,,,,,,,,,Redemptions,-17500,-13429999,-1615871.63,-602878.05,-873383.91,-370979.57,-4542003.87,-210091.78,-825360.79
,,,,,,,,,Managed Account Consulting (MAC) Total,,14,Net Cash Flows,329845,-12578816.06,-114509,-102878.05,-561584.67,177025.17,-4540398.46,-210091.78,-823719.94
,,,,,,,,,,,,Assets,23260019.8,11352604.17,11227753.82,10483601.56,10451983.08,10917214.33,6415627.8,6199882.61,5335308.62
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Managed Account Consulting (MAC) T2,,,Gross Flows,0,1000000,0,0,0,0,0,0,0
,,,,,,,,,,,,Redemptions,0,0,0,0,-971610,0,0,0,0
,,,,,,,,,Managed Account Consulting (MAC) T2 Total,,-,Net Cash Flows,0,1000000,0,0,-971610,0,0,0,0
,,,,,,,,,,,,Assets,,999908,998175.37,941503.03,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,F00000JQ4Q,US SA Preferred Stock,,,SMA Spectrum Preferred Securities,SMA Dual Contract,Managed Account Consulting (MAC),,,Redemptions,0,0,0,0,0,-938973,-959282,0,0
,,,,,,,,,Managed Account Consulting (MAC) Total,,-,Net Cash Flows,0,0,0,0,0,-938973,-959282,0,0
,,,,,,,,,,,,Assets,1749876.18,1818757.36,1826207.64,1729534.67,1829309.65,953398.81,0,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Managed Account Consulting (MAC) T2,,,Gross Flows,83333,0,0,0,4160000,4500,0,0,0
,,,,,,,,,,,,Redemptions,-215483.12,-175144,-17722,-63833,-19833,-2301995.15,-50344.12,-44745.86,-4193731
,,,,,,,,,Managed Account Consulting (MAC) T2 Total,,-,Net Cash Flows,-132150.12,-175144,-17722,-63833,4140167,-2297495.15,-50344.12,-44745.86,-4193731
,,,,,,,,,,,,Assets,2371743.27,2282804.46,2272582.97,2094322.29,6379508.58,4275674.36,4253134.95,4223798.12,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SMA Single Contract,Access,,,Gross Flows,23605518.77,43986710.62,50547901.3,21656325.25,15377345.38,18905435.47,15586415.16,27454939.64,17738587.51
,,,,,,,,,,,,Redemptions,-16464336.21,-16294310.02,-23496238.88,-31687367.74,-38870146.02,-38962206.56,-60385088.18,-18599577.65,-40107530.38
,,,,,,,,,Access Total,,1945,Net Cash Flows,7141182.56,27692400.6,27051662.42,-10031042.49,-23492800.64,-20056771.09,-44798673.02,8855361.99,-22368942.87
,,,,,,,,,,,,Assets,501612674.9,546285441.3,573298931.4,529662265,533329253.3,529668504,486077750.8,495124365,466101103.6
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Strategic Wealth Portfolio (SWP),,,Gross Flows,12404163.89,4453229.63,4857051.94,7237896.18,15389625.07,1540077.27,1248743.61,1967672.93,3470680.52
,,,,,,,,,,,,Redemptions,-2990063.95,-4329613.08,-6056220.88,-8231948.91,-12369156.38,-5735009.7,-3745636.6,-3987128.3,-4437721.14
,,,,,,,,,Strategic Wealth Portfolio (SWP) Total,,252,Net Cash Flows,9414099.94,123616.55,-1199168.94,-994052.73,3020468.69,-4194932.43,-2496892.99,-2019455.37,-967040.62
,,,,,,,,,,,,Assets,78690874.39,81876483.47,79408321.92,73717618.69,80828394.82,79316668.82,77204895.73,75397398.15,73561115.19
,,,,,,,,,,,,,,,,,,,,,
,,,F00000JQ4R,US SA Preferred Stock,,,SMA Spectrum Tax Advantaged Preferred Securities,SMA Single Contract,Access,,,Gross Flows,11894130.29,9084564.89,9129336.01,7887961.6,3688143.59,6806624.2,4476536.21,6762609.46,4357769.13
,,,,,,,,,,,,Redemptions,-2754434.85,-4140941.95,-8349411.62,-24557555.47,-10003478.49,-5629223.71,-1302133.74,-4422897.37,-18134737.91
,,,,,,,,,Access Total,,270,Net Cash Flows,9139695.44,4943622.94,779924.39,-16669593.87,-6315334.9,1177400.49,3174402.47,2339712.09,-13776968.78
,,,,,,,,,,,,Assets,92840409.61,103706933.8,104122475.5,79669701.17,81477223.68,82417433.85,85787043.31,88089378.14,73120583.28
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Strategic Wealth Portfolio (SWP),,,Gross Flows,692416.19,2036581.21,623875.37,1136792.13,331839.45,187256.57,202093.59,784656.33,1241957.23
,,,,,,,,,,,,Redemptions,-766144.29,-222051.47,-2189867.27,-366209.58,-387639.44,-331844.48,-340532.02,-205501.32,-654500.99
,,,,,,,,,Strategic Wealth Portfolio (SWP) Total,,42,Net Cash Flows,-73728.1,1814529.74,-1565991.9,770582.55,-55799.99,-144587.91,-138438.43,579155.01,587456.24
,,,,,,,,,,,,Assets,6658644.35,8752337.77,7200727.84,7341491.63,7703640.64,7863345.45,7741945.64,8310154.22,8805739.03
,,,,,,,,,,,,,,,,,,,,,
,,,F00000MP0V,US SA Real Estate,,,SMA U.S. Real Estate Equity Securities,SMA Dual Contract,Managed Account Consulting (MAC),,,Redemptions,0,-906000,-1105541.24,0,-14091.98,-14284.92,-14555.64,-14723.27,-15179.36
,,,,,,,,,Managed Account Consulting (MAC) Total,,1,Net Cash Flows,0,-906000,-1105541.24,0,-14091.98,-14284.92,-14555.64,-14723.27,-15179.36
,,,,,,,,,,,,Assets,17529448.94,17538165.5,16248633.65,15677797.76,15948814.97,16283653.21,16497895.84,17067571.04,16215547.4
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SMA Single Contract,Access,,,Gross Flows,4163961.46,7284625.53,5906199.99,2939604.63,12486295.68,7463054.84,1710666.59,6459828.4,3830554.2
,,,,,,,,,,,,Redemptions,-2759491.77,-4432139.51,-2973684.71,-4449418.05,-11550965.44,-17572063.68,-11636023.86,-4825793.8,-18429072.92
,,,,,,,,,Access Total,,352,Net Cash Flows,1404469.69,2852486.02,2932515.28,-1509813.42,935330.24,-10109008.84,-9925357.27,1634034.6,-14598518.72
,,,,,,,,,,,,Assets,116429338.1,124234721.1,125543650.6,118788593.3,121372013.7,113040856.4,104129264.9,108689355.3,87884143.19
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Strategic Wealth Portfolio (SWP),,,Gross Flows,825603.5,1691421.55,831568.7,297573.24,689528.95,484531.49,271656.13,328767.82,578969.16
,,,,,,,,,,,,Redemptions,-1171901.94,-794778.02,-568701.43,-1095933.44,-912018.3,-608545.75,-80897.59,-931491,-2009209.53
,,,,,,,,,Strategic Wealth Portfolio (SWP) Total,,62,Net Cash Flows,-346298.44,896643.53,262867.27,-798360.2,-222489.35,-124014.26,190758.54,-602723.18,-1430240.37
,,,,,,,,,,,,Assets,12007539.04,13596398.78,13562749.72,12253337.94,12136310.08,12246704.32,12574799.41,12380801.02,10299373.31
,,,,,,,,,,,,,,,,,,,,,
,"UBS Financial Services, Inc. Total",,,,,,,,,,,Overall Net Cash Flows,73283719.45,70959599.24,122623669.4,47274500.4,51220797.26,-28801449.87,-42907169.44,20235857.62,-25183181.44
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Wells Fargo Advisors,,F00000OSPA,US SA Mid-Cap Value,,,SMA Edge Small MidCap Dividend Income,SMA Single Contract,Diversified Managed Allocations (DMA single),,,Gross Flows,6810870.45,15561885.7,19031452.23,20413152.13,44699716.81,26613700.23,15814821.18,25647778.63,18680363.28
,,,,,,,,,,,,Redemptions,-4780695.34,-6676580.77,-2627534.63,-3571972.03,-6594542.04,-13332301.77,-6509421.95,-14489074.21,-16676535.05
,,,,,,,,,Diversified Managed Allocations (DMA single) Total,,1228,Net Cash Flows,2030175.11,8885304.93,16403917.6,16841180.1,38105174.77,13281398.46,9305399.23,11158704.42,2003828.23
,,,,,,,,,,,,Assets,61354717.44,74561540.61,96796626.93,124189653.9,162735416.4,177257017.4,192641639.4,210302005.5,205092676
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Masters and Select,,,Gross Flows,3886776.24,9418717.72,40553689.29,22566767.61,51149463.96,29194027.45,9304785.07,17354618.36,16786286.57
,,,,,,,,,,,,Redemptions,-634549.35,-2606544.81,-861295.61,-1935394.49,-4581816.72,-21020633.6,-5603622.39,-7872341.79,-19596630.24
,,,,,,,,,Masters and Select Total,,1057,Net Cash Flows,3252226.89,6812172.91,39692393.68,20631373.12,46567647.24,8173393.85,3701162.68,9482276.57,-2810343.67
,,,,,,,,,,,,Assets,75855831.94,87111831.74,132979899.6,168642071.5,218580879.5,227620502.9,247130386.3,265851548.9,253185188.2
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SMA Dual Contract,Network,,1,Assets,0.54 million,0.57 million,0.61 million,0.67 million,0.69 million,0.69 million,0.72 million,0.74 million,0.72 million
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,F00000OSQN,US SA Mid-Cap Value,,,SMA Edge Small MidCap Dividend Income with MLPs,SMA Dual Contract,Network,,,Redemptions,0,0,0,0,-289273,0,0,0,0
,,,,,,,,,Network Total,,-,Net Cash Flows,0,0,0,0,-289273,0,0,0,0
,,,,,,,,,,,,Assets,228434.48,241619.45,258276.73,283552.68,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SMA Single Contract,Diversified Managed Allocations (DMA single),,,Gross Flows,2128223.01,1401498.39,8335812.17,9512971.95,7736949.73,2861189.11,3877185.41,656943.69,2416081.81
,,,,,,,,,,,,Redemptions,-679109.07,-2430684.83,-221389.27,-463862.32,-1242349.79,-1092136.48,-1538189.01,-2505013.78,-3602479.83
,,,,,,,,,Diversified Managed Allocations (DMA single) Total,,115,Net Cash Flows,1449113.94,-1029186.44,8114422.9,9049109.63,6494599.94,1769052.63,2338996.4,-1848070.09,-1186398.02
,,,,,,,,,,,,Assets,12850823.07,12569492.8,21830457.13,32756138.97,40049284.08,42136121.01,44578188.95,43779993.91,40522827.74
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Masters and Select,,,Gross Flows,963083.54,1388547.98,601639.25,3172984.5,4808722.55,4547007.8,104333,817264.95,223241
,,,,,,,,,,,,Redemptions,-357179.5,-13472.5,-542251.5,-2046731.2,-1052208.76,-5690044.29,-2580943.34,-2508101.18,-1166712
,,,,,,,,,Masters and Select Total,,54,Net Cash Flows,605904.04,1375075.48,59387.75,1126253.3,3756513.79,-1143036.49,-2476610.34,-1690836.23,-943471
,,,,,,,,,,,,Assets,14748042.74,17009074.02,17974973.78,21238351.29,25661200.52,24450888.32,15877926.87,14639598.69,13318230.76
,,,,,,,,,,,,,,,,,,,,,
,,,F00000MD3H,US SA Mid-Cap Growth,,,SMA MidCap Equity,SMA Model-Only Contract,Diversified Managed Allocations (DMA),,,Gross Flows,14148923,17387684,12642747,16023861,20193643,12899133,13167020,15814379,21528922
,,,,,,,,,,,,Redemptions,-12675151,-20664483,-7573193,-11655759,-14865993,-9086851,-11120020,-13641693,-18033887
,,,,,,,,,Diversified Managed Allocations (DMA) Total,,1055,Net Cash Flows,1473772,-3276799,5069554,4368102,5327650,3812282,2047000,2172686,3495035
,,,,,,,,,,,,Assets,148721710,153312085,166657027,172758554,191464175,205592186,220252941,233830236,236432350
,,,,,,,,,,,,,,,,,,,,,
